NAME	control1	control2	control3	control4	CT10A1.A	CT10A2.A	CT10A.B	BRCA1.51	BRCA1.52	BRCA1.53	BRCA1.54	Rad51.41	Rad51.42	Rad51.43	Rad51.44	Brit.2A2	Brit.2B	Brit.2C	Brit.2D
AADAT	256.56	304.78	270.96	238.6	322.06	288.78	283.25	134.09	135.47	126.58	133	121.68	131.34	108.66	118.78	110.4	122.32	127.16	126.21
ADM	2132.21	2017.45	2193.94	2243.14	3454.55	3430.52	4609.12	8723.39	10725.27	10634.54	10160.55	15919.92	14790.76	14790.76	13054.66	8290.5	8061	7901.17	7767.69
AHSA1	4137.8	4730.35	3968.53	3876.03	2820.95	2788.5	2982.08	1046.21	1120.36	1053.48	989.68	1782.07	1675.19	1541.23	1672.95	1263.24	1007.35	1057.45	955.79
ALDH3B1	250.77	223.14	255.95	242.84	453.18	398.06	269.28	1522.11	1709.81	1707.64	1811.92	1101.49	1071.62	1153.79	1191.34	2161.01	2450.97	2480.69	2343.39
ALDH6A1	295.05	318.49	289.38	293.27	374.89	362.87	229.66	970.61	942.96	957.96	1129.75	1157.91	1250.2	1206.01	1074.89	1556.67	1480	1635.35	1717.37
ALG8	3053.06	3036.93	3318.14	3197.45	2166.82	2369.33	2219.62	1226.55	1300.74	1280.16	1281.06	1082.93	1100.29	1182.47	1035.12	928.86	928.46	914.13	1017.82
ANLN	4565.45	5167.75	4128.15	4582.85	4055.85	4529.23	3684.05	1102.24	851.58	896.84	1014.54	1670.19	1384.42	1175.84	1446.86	786.18	987.06	884.15	1001.21
ARSD	220.64	212.87	217.73	198.7	371.58	354.25	619.96	829.5	854.18	831.96	853.43	924.37	919.96	891.11	959.95	1050.73	1105.63	1145.12	1155.17
ASF1B	433.5	467	418.88	388.63	517.2	496.08	700.77	137.73	134.05	146.98	144.3	138.15	134.05	122.66	136.84	223.94	209.65	199.99	194.4
ASPM	3183.36	3064.6	3093.35	3326.15	2708.85	2809.29	2475.41	1260.6	1255.59	1328.23	1387.58	1084.43	988.68	934.5	1015.87	830.24	914.56	843.5	882.43
ATP10B	107.98	88.06	93.06	94.04	105.04	87.1	137.63	998.11	1224.05	1187.28	1255.16	252.78	269.75	278	266.63	269.37	317.26	292.86	264.42
AURKB	1832.99	2338.91	1951.64	1901.51	2320.36	2262.69	1807.39	899.88	778.61	872.63	768.33	588.37	523.74	445.03	442.52	914.56	825.47	803.39	765.15
BBOX1	319.65	301.11	328.95	332.53	163.25	161.85	235.93	733.49	599.42	540.17	498.93	759.08	711.68	757.04	668.29	1348.93	1368.53	1288.39	1367.03
BLM	381	394.46	334.88	306.58	398.83	368.81	298.84	133.39	119.53	114.2	127.82	133.53	106.59	107.25	113.62	120.41	122.52	125.35	121.7
BRCA1	721	795.22	596.74	614.56	519.75	588.85	362.98	93.5	97.94	93.2	95.83	181.17	198.08	192.07	165.66	143.21	162.79	155.76	159.11
BRI3BP	1668.98	1706.08	1894.8	1766.35	1527.46	1575.98	1542.16	470.72	446.43	464.23	515.39	399.84	429.7	403.73	447.24	359.41	350.02	288.78	345.96
BTG1	8060.28	8269.31	8248	8383.04	6034.88	5738.18	7128.95	17397.59	16801.39	17837.32	16966.8	22077.5	20150	18947.97	17590.12	23986.33	26694.32	26133.8	25022.36
BTG2	174.94	168.99	168.29	197.47	263.11	257.16	225.51	661.09	532.59	593.74	570.36	888.65	998.11	925.1	1036.93	548.6	542.19	549.04	556.06
C10orf119	347.42	355.88	320.41	320.63	257.34	272.33	252.53	165.44	143.99	145.82	132.97	124.25	121.98	119.98	143.39	103.09	126.91	115.74	115.51
C10orf73	72.16	81.94	92.25	78.24	84.42	93.66	75.07	214.26	240	238.98	253.45	192	215.69	225.23	218.97	247.59	237.8	248.68	259.7
C11orf82	876.7	924.77	889.31	807.39	867.81	906.7	653.63	467.31	330.52	399.5	407.77	266.21	266.82	206.16	231.67	153.05	155.93	159.33	154.73
C13orf3	692.15	694.71	593.14	641.53	586.28	607.27	510.27	312.96	247.78	264	277	224.97	215.25	194.42	207.54	207.04	211.37	199.41	190.71
C14orf145	327.98	298.29	289.45	305.64	224.1	231.06	220.2	128.77	118.29	130.61	120.97	108.92	122.47	116.11	105.04	123.76	136.3	127.62	126.6
C15orf42	226.24	276.87	222.07	238.05	254.81	245.69	292.68	104.17	95.14	98.99	103.23	95.74	82.1	91.75	85.85	114.82	118.76	130.05	105.19
C16orf59	662.35	572.44	597.46	548.66	581.67	564.23	569.99	227.57	229.1	233.16	216.33	198.84	187.41	187.02	148.54	234.1	184.28	214.26	183.42
C16orf68	514.58	477.05	500.5	484.17	796.31	743.03	731.13	1155.23	1304.65	1207.58	1275.46	1469.29	1311.56	1379.26	1345.3	1400	1205.96	1258.13	1232.51
C17orf41	284.47	290.23	247.54	255.38	236.08	235.74	248.68	130.34	110.05	112.8	115.32	119.7	112.47	112.77	104.71	92.4	98.73	97.4	100.58
C1orf112	873.33	894.62	824.55	841.02	664.27	605.41	567.07	352.34	299.02	324.23	292.04	215.01	189.11	203.29	184.11	276	234.6	242.94	223.05
C1orf54	125.32	115.78	105.21	127.74	130.16	123.83	163.88	253.99	268	274.27	267.03	280.29	309.11	314.75	284.26	306.32	269.19	258.28	289.98
C1QTNF6	598.22	553.91	533.49	579.87	328.35	332.52	499.39	165.89	205.94	178.66	177.01	253.18	230.06	217.37	224.41	228.43	228.85	225.85	232.79
