UID	GeneID	Centroid_ctrl	Centroid_HRD
AADAT	51166	0.433379759	-0.033769325
ADM	133	-1.185212251	0.215132374
AHSA1	10598	0.401385013	-0.268411608
ALDH3B1	221	-1.436364035	0.29845472
ALDH6A1	4329	-1.210452527	0.222969925
ALG8	79053	0.418026477	-0.122177018
ANLN	54443	0.740836164	-0.226083004
ARSD	414	-1.153089551	0.106724798
ASF1B	55723	0.542509205	-0.189541817
ASPM	259266	0.482984795	-0.164451914
ATP10B	23120	-1.068823533	0.446436929
AURKB	9212	0.508490247	-0.175479821
BBOX1	8424	-0.985491438	0.273884837
BLM	641	0.676921275	-0.018235652
BRCA1	672	0.757430125	-0.245887081
BRI3BP	140707	0.881524208	-0.096421252
BTG1	694	-0.998238378	0.138856589
BTG2	7832	-1.068684946	0.188446425
C10orf119	79892	0.396654232	-0.101744096
C10orf73	NA	-1.10329029	0.017043058
C11orf82	220042	0.427785096	-0.392337265
C13orf3	NA	0.52001285	-0.103096464
C14orf145	145508	0.413510529	-0.032898131
C15orf42	90381	0.444715831	-0.102201636
C16orf59	80178	0.585397232	-0.094560342
C16orf68	79091	-0.845366047	0.05962744
C17orf41	NA	0.417701112	-0.09184256
C1orf112	55732	0.539048075	-0.166601068
C1orf54	79630	-0.84660975	0.067246952
C1QTNF6	114904	0.3535731	-0.109371999
C20orf19	NA	-1.038894725	0.314105682
C20orf82	NA	0.489681161	-0.137465442
C4orf34	201895	-0.897551364	0.285976489
C5orf38	153571	-0.868666093	0.183062002
C6orf48	50854	-1.104891095	0.504376303
CBLB	868	-0.904753093	0.066622523
CCDC138	165055	0.472323153	-0.05240732
CCDC92	80212	-0.814039265	0.097601459
CCNA2	890	0.746308923	-0.157564081
CCNB1	891	0.445667416	-0.099873535
CCNB1IP1	57820	-0.943841964	0.192016259
CCNE1	898	0.514702988	-0.10353572
CD68	968	-0.990149874	0.302642281
CDC7	8317	0.727929846	-0.115962615
CDCA2	157313	0.46871654	-0.128915543
CDCA3	83461	0.596693107	-0.179523196
CDCA5	113130	0.43496783	-0.334969883
CDCA7	83879	1.313588129	-0.080023893
CDCA8	55143	0.373499905	-0.131409231
CDKN1C	1028	-1.100929464	0.191401129
CENPJ	55835	0.54310302	-0.126761893
CHAF1A	10036	0.63035014	-0.078480714
CHAF1B	8208	0.632103205	-0.081314473
