aliquot_id,sample_type
TCGA-AR-A1AN-10A-01D-A12M-02,Blood Derived Normal
TCGA-AR-A1AN-10A-01D-A12Q-09,Blood Derived Normal
TCGA-AR-A1AN-10A-01W-A14O-09,Blood Derived Normal
TCGA-AR-A1AN-10A-01D-A12N-01,Blood Derived Normal
TCGA-AR-A1AN-01A-11R-A12P-07,Primary Tumor
TCGA-AR-A1AN-01A-11D-A12M-02,Primary Tumor
TCGA-AR-A1AN-01A-11D-A12Q-09,Primary Tumor
TCGA-AR-A1AN-01A-11D-A12R-05,Primary Tumor
TCGA-AR-A1AN-01A-11W-A14O-09,Primary Tumor
TCGA-AR-A1AN-01A-11R-A12O-13,Primary Tumor
TCGA-AR-A1AN-01A-11D-A12N-01,Primary Tumor
TCGA-E9-A1RI-11A-41D-A16A-05,Solid Tissue Normal
TCGA-E9-A1RI-11A-41R-A169-07,Solid Tissue Normal
TCGA-E9-A1RI-11A-41R-A168-13,Solid Tissue Normal
TCGA-E9-A1RI-01A-11D-A166-01,Primary Tumor
TCGA-E9-A1RI-01A-11D-A165-02,Primary Tumor
TCGA-E9-A1RI-01A-11D-A16A-05,Primary Tumor
TCGA-E9-A1RI-01A-11D-A167-09,Primary Tumor
TCGA-E9-A1RI-01A-11R-A169-07,Primary Tumor
TCGA-E9-A1RI-01A-11R-A168-13,Primary Tumor
TCGA-E9-A1RI-01A-11W-A184-09,Primary Tumor
TCGA-E9-A1RI-10A-01D-A166-01,Blood Derived Normal
TCGA-E9-A1RI-10A-01W-A184-09,Blood Derived Normal
TCGA-E9-A1RI-10A-01D-A165-02,Blood Derived Normal
TCGA-E9-A1RI-10A-01D-A167-09,Blood Derived Normal
TCGA-BH-A18L-11A-42D-A12E-05,Solid Tissue Normal
TCGA-BH-A18L-11A-42D-A129-02,Solid Tissue Normal
TCGA-BH-A18L-11A-42W-A12S-09,Solid Tissue Normal
TCGA-BH-A18L-11A-42D-A12A-01,Solid Tissue Normal
TCGA-BH-A18L-11A-42R-A12D-07,Solid Tissue Normal
TCGA-BH-A18L-11A-42R-A12C-13,Solid Tissue Normal
TCGA-BH-A18L-11A-42D-A12B-09,Solid Tissue Normal
TCGA-BH-A18L-01A-32W-A12S-09,Primary Tumor
TCGA-BH-A18L-01A-32D-A12A-01,Primary Tumor
TCGA-BH-A18L-01A-32D-A12E-05,Primary Tumor
TCGA-BH-A18L-01A-32R-A12D-07,Primary Tumor
TCGA-BH-A18L-01A-32R-A12C-13,Primary Tumor
TCGA-BH-A18L-01A-32D-A12B-09,Primary Tumor
TCGA-BH-A18L-01A-32D-A129-02,Primary Tumor
TCGA-E9-A1NA-11A-33R-A144-07,Solid Tissue Normal
TCGA-E9-A1NA-11A-33D-A145-05,Solid Tissue Normal
TCGA-E9-A1NA-11A-33R-A143-13,Solid Tissue Normal
TCGA-E9-A1NA-01A-11R-A143-13,Primary Tumor
TCGA-E9-A1NA-01A-11D-A142-09,Primary Tumor
TCGA-E9-A1NA-01A-11D-A145-05,Primary Tumor
TCGA-E9-A1NA-01A-11W-A187-09,Primary Tumor
TCGA-E9-A1NA-01A-11R-A144-07,Primary Tumor
TCGA-E9-A1NA-01A-11D-A141-01,Primary Tumor
TCGA-E9-A1NA-01A-11D-A140-02,Primary Tumor
TCGA-E9-A1NA-10A-01D-A142-09,Blood Derived Normal
TCGA-E9-A1NA-10A-01D-A140-02,Blood Derived Normal
TCGA-E9-A1NA-10A-01W-A187-09,Blood Derived Normal
TCGA-E9-A1NA-10A-01D-A141-01,Blood Derived Normal
TCGA-A8-A0A2-01A-11X-A048-08,Primary Tumor
TCGA-A8-A0A2-01A-11D-A044-08,Primary Tumor
TCGA-A8-A0A2-01A-11X-A049-09,Primary Tumor
TCGA-A8-A0A2-01A-11D-A045-09,Primary Tumor
TCGA-A8-A0A2-01A-11D-A036-01,Primary Tumor
TCGA-A8-A0A2-01A-11R-A034-07,Primary Tumor
TCGA-A8-A0A2-01A-11W-A051-08,Primary Tumor
TCGA-A8-A0A2-01A-11D-A032-05,Primary Tumor
TCGA-A8-A0A2-01A-11R-A035-13,Primary Tumor
TCGA-A8-A0A2-01A-11W-A050-09,Primary Tumor
